date,time,planet1,planet2,aspect,aspect_abbrev,angle,planet1_lon,planet2_lon,description
2027.09.19,00:00,Uranus,Pluto,Trine,Trine,120.9048,67.0874,306.1825,Uranus-Pluto Trine
2027.09.20,00:00,Uranus,Pluto,Trine,Trine,120.9118,67.0989,306.1871,Uranus-Pluto Trine
2027.09.21,00:00,Uranus,Pluto,Trine,Trine,120.9189,67.1105,306.1916,Uranus-Pluto Trine
2027.09.22,00:00,Uranus,Pluto,Trine,Trine,120.9259,67.1220,306.1961,Uranus-Pluto Trine
2027.09.23,00:00,Uranus,Pluto,Trine,Trine,120.9329,67.1335,306.2006,Uranus-Pluto Trine
2027.09.24,00:00,Uranus,Pluto,Trine,Trine,120.9399,67.1451,306.2051,Uranus-Pluto Trine
2027.09.25,00:00,Uranus,Pluto,Trine,Trine,120.9469,67.1566,306.2097,Uranus-Pluto Trine
2027.09.26,00:00,Uranus,Pluto,Trine,Trine,120.9540,67.1681,306.2142,Uranus-Pluto Trine
2027.09.26,00:00,Neptune,Pluto,Sextile,Sext,59.0015,5.2157,306.2142,Neptune-Pluto Sext
2027.09.27,00:00,Uranus,Pluto,Trine,Trine,120.9610,67.1797,306.2187,Uranus-Pluto Trine
2027.09.27,00:00,Neptune,Pluto,Sextile,Sext,59.0031,5.2218,306.2187,Neptune-Pluto Sext
2027.09.28,00:00,Uranus,Pluto,Trine,Trine,120.9680,67.1912,306.2232,Uranus-Pluto Trine
2027.09.28,00:00,Neptune,Pluto,Sextile,Sext,59.0047,5.2279,306.2232,Neptune-Pluto Sext
2027.09.29,00:00,Uranus,Pluto,Trine,Trine,120.9750,67.2028,306.2277,Uranus-Pluto Trine
2027.09.29,00:00,Neptune,Pluto,Sextile,Sext,59.0063,5.2340,306.2277,Neptune-Pluto Sext
2027.09.30,00:00,Uranus,Pluto,Trine,Trine,120.9820,67.2143,306.2323,Uranus-Pluto Trine
2027.09.30,00:00,Neptune,Pluto,Sextile,Sext,59.0078,5.2401,306.2323,Neptune-Pluto Sext
2027.10.01,00:00,Uranus,Pluto,Trine,Trine,120.9891,67.2258,306.2368,Uranus-Pluto Trine
2027.10.01,00:00,Neptune,Pluto,Sextile,Sext,59.0094,5.2462,306.2368,Neptune-Pluto Sext
2027.10.02,00:00,Uranus,Pluto,Trine,Trine,120.9961,67.2374,306.2413,Uranus-Pluto Trine
2027.10.02,00:00,Neptune,Pluto,Sextile,Sext,59.0110,5.2523,306.2413,Neptune-Pluto Sext
2027.10.03,00:00,Neptune,Pluto,Sextile,Sext,59.0125,5.2584,306.2458,Neptune-Pluto Sext
2027.10.04,00:00,Neptune,Pluto,Sextile,Sext,59.0141,5.2645,306.2503,Neptune-Pluto Sext
2027.10.05,00:00,Neptune,Pluto,Sextile,Sext,59.0157,5.2706,306.2549,Neptune-Pluto Sext
2027.10.06,00:00,Neptune,Pluto,Sextile,Sext,59.0173,5.2766,306.2594,Neptune-Pluto Sext
2027.10.07,00:00,Neptune,Pluto,Sextile,Sext,59.0188,5.2827,306.2639,Neptune-Pluto Sext
2027.10.08,00:00,Neptune,Pluto,Sextile,Sext,59.0204,5.2888,306.2684,Neptune-Pluto Sext
2027.10.09,00:00,Neptune,Pluto,Sextile,Sext,59.0220,5.2949,306.2729,Neptune-Pluto Sext
2027.10.10,00:00,Neptune,Pluto,Sextile,Sext,59.0236,5.3010,306.2775,Neptune-Pluto Sext
2027.10.11,00:00,Neptune,Pluto,Sextile,Sext,59.0251,5.3071,306.2820,Neptune-Pluto Sext
2027.10.12,00:00,Neptune,Pluto,Sextile,Sext,59.0267,5.3132,306.2865,Neptune-Pluto Sext
2027.10.13,00:00,Neptune,Pluto,Sextile,Sext,59.0283,5.3193,306.2910,Neptune-Pluto Sext
2027.10.14,00:00,Neptune,Pluto,Sextile,Sext,59.0299,5.3254,306.2955,Neptune-Pluto Sext
2027.10.15,00:00,Neptune,Pluto,Sextile,Sext,59.0314,5.3315,306.3000,Neptune-Pluto Sext
2027.10.16,00:00,Neptune,Pluto,Sextile,Sext,59.0330,5.3376,306.3046,Neptune-Pluto Sext
2027.10.17,00:00,Neptune,Pluto,Sextile,Sext,59.0346,5.3437,306.3091,Neptune-Pluto Sext
2027.10.18,00:00,Neptune,Pluto,Sextile,Sext,59.0362,5.3497,306.3136,Neptune-Pluto Sext
2027.10.19,00:00,Neptune,Pluto,Sextile,Sext,59.0378,5.3558,306.3181,Neptune-Pluto Sext
2027.10.20,00:00,Neptune,Pluto,Sextile,Sext,59.0393,5.3619,306.3226,Neptune-Pluto Sext
2027.10.21,00:00,Neptune,Pluto,Sextile,Sext,59.0409,5.3680,306.3271,Neptune-Pluto Sext
2027.10.22,00:00,Neptune,Pluto,Sextile,Sext,59.0425,5.3741,306.3316,Neptune-Pluto Sext
2027.10.23,00:00,Neptune,Pluto,Sextile,Sext,59.0440,5.3802,306.3362,Neptune-Pluto Sext
2027.10.24,00:00,Neptune,Pluto,Sextile,Sext,59.0456,5.3863,306.3407,Neptune-Pluto Sext
2027.10.25,00:00,Neptune,Pluto,Sextile,Sext,59.0472,5.3924,306.3452,Neptune-Pluto Sext
2027.10.26,00:00,Neptune,Pluto,Sextile,Sext,59.0488,5.3985,306.3497,Neptune-Pluto Sext
2027.10.27,00:00,Neptune,Pluto,Sextile,Sext,59.0503,5.4046,306.3542,Neptune-Pluto Sext
2027.10.28,00:00,Neptune,Pluto,Sextile,Sext,59.0519,5.4107,306.3587,Neptune-Pluto Sext
2027.10.29,00:00,Neptune,Pluto,Sextile,Sext,59.0535,5.4168,306.3632,Neptune-Pluto Sext
2027.10.30,00:00,Neptune,Pluto,Sextile,Sext,59.0551,5.4229,306.3678,Neptune-Pluto Sext
2027.10.31,00:00,Neptune,Pluto,Sextile,Sext,59.0567,5.4289,306.3723,Neptune-Pluto Sext
2027.11.01,00:00,Neptune,Pluto,Sextile,Sext,59.0582,5.4350,306.3768,Neptune-Pluto Sext
2027.11.02,00:00,Neptune,Pluto,Sextile,Sext,59.0598,5.4411,306.3813,Neptune-Pluto Sext
2027.11.03,00:00,Neptune,Pluto,Sextile,Sext,59.0614,5.4472,306.3858,Neptune-Pluto Sext
2027.11.04,00:00,Neptune,Pluto,Sextile,Sext,59.0630,5.4533,306.3903,Neptune-Pluto Sext
2027.11.05,00:00,Neptune,Pluto,Sextile,Sext,59.0646,5.4594,306.3949,Neptune-Pluto Sext
2027.11.06,00:00,Neptune,Pluto,Sextile,Sext,59.0661,5.4655,306.3994,Neptune-Pluto Sext
2027.11.07,00:00,Neptune,Pluto,Sextile,Sext,59.0677,5.4716,306.4039,Neptune-Pluto Sext
2027.11.08,00:00,Neptune,Pluto,Sextile,Sext,59.0693,5.4777,306.4084,Neptune-Pluto Sext
2027.11.09,00:00,Neptune,Pluto,Sextile,Sext,59.0709,5.4838,306.4129,Neptune-Pluto Sext
