Symbol,Bid,Ask,Spread,Digits,Point,TickSize,TickValue,BaseCurrency,ProfitCurrency,Description,SpreadType,Selected,Visible,SessionHigh,SessionLow,Volume,Time,GannCategory,Price360Range,DegreePerPoint
XRPUSD.cr,3.079,3.0819,0.0028999999999999027,4,0.0001,0.0001,0.9999999999999999,USD,USD,Ripple vs US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
.S&P500-,6368.69,6369.59,0.9000000000005457,2,0.01,0.01,0.1,USD,USD,S&P 500,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
BITCOIN,115615.75,115633.0,17.25,2,0.01,0.01,0.01,USD,USD,New BitCoin vs. US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MASSIVE,36000.0,0.01
EURJPY-,173.004,173.019,0.01500000000001478,3,0.001,0.001,0.6793062924141866,EUR,JPY,Euro vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
.AUS200-,8642.9,8646.7,3.8000000000010914,1,0.1,0.1,0.6574600000000002,AUD,AUD,S&P/ASX200 Index ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.DE30-,24086.7,24087.5,0.7999999999992724,2,0.01,0.01,0.117526,EUR,EUR,Xetra DAX Index,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.DJ-,44723.45,44725.25,1.8000000000029104,2,0.01,0.01,0.1,USD,USD,Dow Jones Industrial Average,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.ESP35-,14239.4,14246.6,7.200000000000728,1,0.1,0.1,1.1752600000000002,EUR,EUR,Spain 35,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 20:59,XLARGE,3600.0,0.1
.HK50-,25363.8,25381.8,18.0,1,0.1,0.1,0.1273982724794252,HKD,HKD,Hang Seng Index ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.JP225-,41298.0,41303.0,5.0,0,1.0,1.0,0.6793062924141866,JPY,JPY,Nikkei 225 Index,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.ND-,23222.95,23224.65,1.7000000000007276,2,0.01,0.01,0.1,USD,USD,Nasdaq ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
.STOXX50-,5316.0,5319.7,3.699999999999818,2,0.01,0.01,0.117526,EUR,EUR,Dow Jones EURO STOXX50 Index ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:29,XLARGE,3600.0,0.1
.UK100-,9105.1,9110.7,5.600000000000364,1,0.1,0.1,1.3479800000000002,GBP,GBP,FTSE 100 Index ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,XLARGE,3600.0,0.1
USDCAD-,1.36663,1.36669,0.00005999999999994898,5,0.00001,0.00001,0.7316948247225049,USD,CAD,US Dollar vs Canadian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
USDCHF-,0.79545,0.79551,0.000060000000000060005,5,0.00001,0.00001,1.2570552224359215,USD,CHF,US Dollar vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
USDJPY-,147.206,147.209,0.0030000000000143245,3,0.001,0.001,0.6793062924141866,USD,JPY,US Dollar vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
